Nombre de Fantasía,RUT
MI FINCA,77584909-6
Swagat,77928972-9
Burguer won,77993972-3
Mardoqueo La Reina,77006199-7
OH MY PIZZA las Condes,78164533-8
El Templo,76406086-5
Fogón del Gaucho,76039549-8
Pipiolo,76730367-K
Trotamundos Quilpué ,77187247-6
La cabaña restobar,78045904-2
Diroom,76440204-9
Darkolics,76935742-4
Embarcadero41,78173926-7
Doña javiera,76250957-1
Novellino  restaurante ,8598738-0
Los Hornitos,78255741-6
Rock and roll Chicken,78284853-4
MIGOA  RESTAURANTE,78305674-7
DANOI BARRIO ITALIA,76080129-1
Dublin Puente Alto,78079719-3
Yamasushi,78194336-3
MITO ,76184991-3
RESTOBAR PISCO Y CAÑA,78298148-K
ROCKSTAR HUECHURABA,78122949-0
Siete Negronis,77988583-6
LA PIOJERA,83183800-0
LA TOSCANA ,10691930-5
DANTE JORGE WASHINGTON,76166791-2
Badalú,77941848-0
Oveja Negra ,78026241-9
RUSTIKO BISTRO,78034864-K
Fuente Dortmund,77894076-0
La hacienda Gaucha,76079927-0
PRUEBA NO FACTURAR,16441338-1
La Pizzeria de Rapa Nui,7967730-2
Vikingos,76073802-6
Servicios Gastronómicos Gusto Casero SpA,76829718-5
Hilton Garden INN,76042628-8
Kilombo,77815976-7
Dumpling,77145157-8
Vaiven,77302381-6
Nuna - Novotel,96914240-6
Licor Express,77515567-1
Matildas Hotel Boutique,77633120-1
Hotel UGO,77005651-9
La Fusión Gourmet,78094645-8
Hotel ICON,76613786-5
Comercial Blanco ,78844090-1
Botilleria Chaguito,76693750-0
Los Fabulosos,78267706-3
Restaurant Lotus Flower,78763050-2
Hotel Hangaroa,76281470-6
Hotel Ritz Carlton,76360669-4
Alto Restaurate,77030742-2
Chipe Libre,78367000-3
Bada,77230793-4
Papifish,77670937-9
IRASUSHI,78078847-K
Masamá ,77267846-0
Jardín Cervecero ,78121649-6
Cocina Puerto ,76779723-0
Domus Mare ,76717459-4
Beer Planet ,77919384-5
DALOS,77713888-K
LIVING CAFETERIA,76981814-6
Diego restobar,78193118-7
El chancho 6 restaurant,78042872-4
Bar Almagro,77055654-6
MI FINCA,77584909-6
FUENTE SUIZA MALL PLAZA OESTE,77528378-5
Sprint Food ,77807841-4
Sanguchería Travesía ,78019236-4
Chargobar,78173575-2
PASTA GRILL ,77115806-4
Miguelayo,77967373-1
Comedor Huggo ,76821007-1
BARRICA 94,76309234-8
Brazas taberna peruana,78151552-3
Rongji Resto Bar,76543913-2
Mariachi loco Manuel Montt,77359111-3
TAPAS Y BIRRA TERRAZAS SAN CRISTOBAL,77563437-5
Terrazas del Sol,77502196-9
LOS GUEROS COMIDA MEXICANA,77949043-2
Calabria Bellavista,77909418-9
Calabria Rancagua,77737881-3
KAFERA ,78206195-K
OZAKI,77708625-1
Fat Kid ,77092951-2
Doña Celina ,78094037-9
Pulento Vasco,76442922-2
Bar Errante Steak ,76447109-1
Dublin Italia,76711067-7
Serravalle ,78084128-1
Hostal el Raco,76844031-K
Blasco,76248493-5
WAYNA LA FLORIDA,77988668-9
Kross Bar Aeropuerto F,77266566-0
Kross Bar Aeropuerto ESPIGON D,77266566-0
BAR ESTEFANIA,27045154-3
DISCO BAL LE DUC,77818080-4
KECHUA TERRAZAS SAN CRISTOBAL,77634535-0
Rosmarino,77981013-5
Game Cover,76696395-1
Trotamundos,77327875-K
Bar Fiddlers,76249933-9
Milonga Pizza Bar,77171188-K
Origin Bar,78013713-4
Casa Lola,77479415-8
Trinity Bar,78162835-2
Ciudad Resto,76776707-2
Bar 11,77230881-7
Bar Restaurant Jazz Grez,76678225-6
Utopia,77208045-K
FUENTE SUIZA MALL PLAZA EGAÑA,77528378-5
Barra de Pickles ByMaria,77479089-6
Mariachi Loco,77359111-3
Cocteleria Farfana,77938787-9
BAR MISCELANEO,77929449-8
Bar Antonia Lounge,77519634-3
Brunosttor Restobar,76413919-4
Bar Too Much,78055904-7
Bar Estefania House ,27045154-3
La Mesa Redonda,77936929-3
Caverna de Charly,76874237-5
KECHUA ÑUÑOA,77098999-K
KECHUA BORDERIO,77235415-0
Verde Absenta,76439918-8
El Destape,77126534-0
Don 70,77826318-1
El Expendio,77218663-0
El Otro Bar,76715386-4
Bar Las Tejas,79781910-7
El Tunkipe,78095162-1
Cafetería Casa Cien,78110006-4
Bar Casillero del Diablo,77680874-1
Liverpool,15077574-4
Rocka Rollas,77845652-4
Amadeus,77166721-K
La Antojeria,76327404-7
La Vera Pizza,79808500-K
Sit Down,77806778-1
Space,77126949-4
Aomori,76192287-4
Italian,77962693-8
Stingray,52000525-0
Capital Santiago,77320589-2
Cerveceria Casablanca,76973978-5
Casa Luna,78101532-6
Piano Bar,78031033-4
ViBeer,77481099-9
Uncle Fletch,76296-603-4
Springfield,76176065-3
Picadelly,76203813-7
Malacria,78127722-3
Kanpai,76239936-9
Espoz,77147534-5
Casa Vecchia,76287542-K
Bar Kross ,76519803-9
27 F,76451968-K
Damajuana,77490714-9
La Cantera Bar,77012518-9
Fuente Chilena  Mall Plaza Vespucio,76934290-7
Toni Lautaro,77193462-5
La Fuente Maestra,77768351-9
Club Urmeneta,77887677-9
Ay Lupita,78025457-2
Rockstar Karaoke,78052114-7
SMASH BURGER,77202046-5
El Hoyo,76821392-5
Black Rock,76420974-5
BAR ALAMEDA PORTUGAL,77988409-0
BAR ALAMEDA SANTA ROSA,77188457-1
BAR ALAMEDA LOS LEONES,78052251-8
VITALI´S RESTOBAR,78047704-0
Contigo Perú,77915437-8
Distrito San Martin,77397206-0
Selvaggio,76874826-8
Insert Coin Providencia,76404502-5
La Flor de Chile,76101048-4
Holy Moly Providencia,76763751-9
VaPiano Las Condes,76381268-5
VaPiano Providencia,76585662-0
Valhalla,77092272-0
Fabrica Pizzas,76677323-0
Valshi,77686401-3
Uncle Fletch Providencia,76296603-4
Uncle Fletch Ñuñoa,76296603-4
Uncle Fletch Lo Barnechea,76296603-4
Uncle Fletch Las Condes,76296603-4
Republicano,76199733-5
Vittorio,77114965-0
MF Resto Bar,76857029-9
Calafate,76761597-3
The Break,77739674-9
Barraschoppera,76067059-6
Santo Bar Stgo,14183085-6
Soler,76316459-4
Pizzeria Algarrobo,77154744-3
The Clinic,76133430-1
Mister Fish Providencia,76452696-1
Mister Fish Ñuñoa,76452696-1
Mister Fish La Reina,76452696-1
Bubba,76217410-3
Chelsea,76470295-6
Taberna Malasaña,76501373-9
Calabria,77490005-5
Tio Manolo (Patio Santa Isabel),76214021-7
La casa del Vikingo,78049493-K
Sr Monkey,76011055-8
Feliziana,76016991-9
Kross Bar Antofagasta,77378282-2
Galindo,76070425-3
Casona San José,78810260-7
Café Paris,76887560-K
La Isla,77227667-2
Insert Coin Ñuñoa,76296343-4
Casa Estadio,76363388-8
La Conquistada,77498969-2
Kitcheng,77563720-k
Viva La Vida,76130461-5
Grille,76777366-8
ALMA CAFÉ Y BISTRO,77805289-K
Star Click,76078693-4
Pekas,4759031-0
Juana La Brava,76232384-2
La Ronda,76872461-K
Ruta 78,77052366-4
